time,dancer,Left arm X,Left arm Y,Left arm Z,Right arm X,Right arm Y,Right arm Z,Left leg X,Left leg Y,Left leg Z,Right leg X,Right leg Y,Right leg Z,Gyro X,Gyro Y,Gyro Z,image
14.39.35.3608,Dancer 2,65535,65535,65535,65535,65535,65535,13947,13920,15339,127,14980,14711,0,0,0,"=HYPERLINK(""test-14.39.35.3608.png"")"
14.39.35.3614,Dancer 2,65535,65535,65535,65535,65535,65535,13443,13937,15331,0,15516,13628,0,0,0,"=HYPERLINK(""test-14.39.35.3614.png"")"
14.39.35.3631,Dancer 2,65535,65535,65535,65535,65535,65535,13511,13908,15346,83,10826,10831,0,0,0,"=HYPERLINK(""test-14.39.35.3631.png"")"
14.39.35.3647,Dancer 2,65535,65535,65535,65535,65535,65535,13598,13811,15393,237,12651,12897,0,0,0,"=HYPERLINK(""test-14.39.35.3647.png"")"
14.39.35.3663,Dancer 2,65535,65535,65535,65535,65535,65535,13403,14048,15299,8,14339,13722,0,0,0,"=HYPERLINK(""test-14.39.35.3663.png"")"
14.39.35.4092,Dancer 2,65535,65535,65535,65535,65535,65535,13315,14165,15204,52,15135,13944,0,0,0,"=HYPERLINK(""test-14.39.35.4092.png"")"
14.39.36.4726,Dancer 2,65535,65535,65535,65535,65535,65535,13312,14139,15109,52,15165,14005,0,0,0,"=HYPERLINK(""test-14.39.36.4726.png"")"
14.39.37.5460,Dancer 2,65535,65535,65535,65535,65535,65535,15358,13301,15236,185,14986,13766,0,0,0,"=HYPERLINK(""test-14.39.37.5460.png"")"
14.39.37.6083,Dancer 2,65535,65535,65535,65535,65535,65535,14810,13043,15265,0,14271,14280,0,0,0,"=HYPERLINK(""test-14.39.37.6083.png"")"
14.39.38.6718,Dancer 2,65535,65535,65535,65535,65535,65535,13571,15251,15224,245,15090,14548,0,0,0,"=HYPERLINK(""test-14.39.38.6718.png"")"
14.39.39.7451,Dancer 2,65535,65535,65535,65535,65535,65535,13450,14396,15055,0,13826,14477,0,0,0,"=HYPERLINK(""test-14.39.39.7451.png"")"
14.39.39.8072,Dancer 2,65535,65535,65535,65535,65535,65535,13493,14218,15211,109,14712,14638,0,0,0,"=HYPERLINK(""test-14.39.39.8072.png"")"
14.39.40.8805,Dancer 2,65535,65535,65535,65535,65535,65535,13749,13688,15513,78,14687,14872,0,0,0,"=HYPERLINK(""test-14.39.40.8805.png"")"
14.39.41.9423,Dancer 2,65535,65535,65535,65535,65535,65535,13668,13565,15444,201,14793,14622,0,0,0,"=HYPERLINK(""test-14.39.41.9423.png"")"
14.39.41.10044,Dancer 2,65535,65535,65535,65535,65535,65535,13698,13731,15399,207,15067,13968,0,0,0,"=HYPERLINK(""test-14.39.41.10044.png"")"
14.39.42.10779,Dancer 2,65535,65535,65535,65535,65535,65535,14696,13188,15322,226,15016,13109,0,0,0,"=HYPERLINK(""test-14.39.42.10779.png"")"
14.39.43.11401,Dancer 2,65535,65535,65535,65535,65535,65535,14844,13222,15165,27,14585,12501,0,0,0,"=HYPERLINK(""test-14.39.43.11401.png"")"
14.39.43.12035,Dancer 2,65535,65535,65535,65535,65535,65535,14495,15139,15141,225,14314,15009,0,0,0,"=HYPERLINK(""test-14.39.43.12035.png"")"
14.39.44.12769,Dancer 2,65535,65535,65535,65535,65535,65535,14418,15173,15257,49,14942,14602,0,0,0,"=HYPERLINK(""test-14.39.44.12769.png"")"
14.39.45.13391,Dancer 2,65535,65535,65535,65535,65535,65535,13951,15376,15361,251,15094,14809,0,0,0,"=HYPERLINK(""test-14.39.45.13391.png"")"
14.39.45.14124,Dancer 2,65535,65535,65535,65535,65535,65535,13603,13589,15460,175,14792,14672,0,0,0,"=HYPERLINK(""test-14.39.45.14124.png"")"
14.39.46.14741,None connected,16895,65535,65535,65535,65535,65535,65333,6204,34620,27648,12090,12856,61440,0,0,"=HYPERLINK(""test-14.39.46.14741.png"")"
